"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"460897343500746752","","","2014-04-28 21:44:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Impressed with Kuler from Adobe - interactive tool for creating colour themes https://t.co/eBvTkknNJ3 (useful for Physics/Art too?)","","","","https://kuler.adobe.com/create/color-wheel/"
"460857292234452992","460743524892147712","372768752","2014-04-28 19:05:15 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@mrkrndvs Thank you kindly for the tweetout :-)","","","",""
"460482872491929600","","","2014-04-27 18:17:26 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","RT @primarypete_ The Computing Curriculum http://t.co/XYSj5Ud2bl &lt;- WOW! Just wow! Fantastic job Pete.","","","","http://wp.me/pH7oZ-ET"
"460456270097829888","460442259566383104","476231848","2014-04-27 16:31:44 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@sshainfeld How about a concept mapping application like http://t.co/dXcqELVwfE https://t.co/pCdnhMGdTD or http://t.co/rd1UAsL5jb ?","","","","http://www.mindmup.com/,https://bubbl.us/,http://www.wisemapping.com/"
"460414364189990912","460413271854809088","8496052","2014-04-27 13:45:13 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@mberry The trial is for the Pro acct. though. The free acct isnt time -limited, but has restrictions on no. of pages &amp; storage capacity.","","","",""
"460412068018286592","460402488303443968","8496052","2014-04-27 13:36:05 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@mberry @RoehamptonEdu SnapPages worth a look? http://t.co/eHGpvgzIZI","","","","http://snappages.com/"
"460201315281670144","","","2014-04-26 23:38:38 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","How come Adelaide time is 9 and *a half* hours ahead of GMT? Didn't think half hour time zones were used?","","","",""
"460200726787268608","","","2014-04-26 23:36:18 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","RT @largerama: Two blog posts, two perspectives on collaborative research: http://t.co/R6mPtb5irL AND http://t.co/ucPQGObBX9 with @IaninShe…","460198832869875713","82992519","2014-04-26 23:28:46 +0000","http://ianinsheffield.wordpress.com/2014/04/27/intercontinentalresearch/,http://largerama.creativeblogs.net/2014/04/27/sharedresearch/,http://ianinsheffield.wordpress.com/2014/04/27/intercontinentalresearch/,http://largerama.creativeblogs.net/2014/04/27/sharedresearch/"
"460198960930762752","","","2014-04-26 23:29:17 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","Tales of Shared Research from @largerama http://t.co/5WMUo9PsWd  &amp; me http://t.co/N00MHRsuLC","","","","http://bit.ly/1ffKpre,http://bit.ly/1ffKo6p"
"459753463132725248","459746995767631872","102939902","2014-04-25 17:59:02 +0000","<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","@philallman1 @NuttyA10 Hearty congrats! A marvellous opportunity :-)","","","",""
